drug_trial_id,drug_name,drug_manufacturer,trial_phase,trial_results,trial_start_date,trial_end_date,trial_sample_size,dosage_mg,trial_location,missing_per_row
T1028,Paracetamol,Pfizer,Phase II,Failure,2021-08-13,2021-12-17,4167.0,181.0,Eldoret,0
T1029,Aspirin,Novartis,Phase II,Ongoing,,,550.0,160.16,Eldoret,2
T1030,Unknown,Roche,Phase I,,2020-05-22,2020-09-14,3827.0,266.51,Eldoret,2
T1031,Aspirin,Novartis,Phase I,Ongoing,2022-10-23,2022-11-23,4426.0,282.16,Mombasa,0
T1032,Metformin,Roche,Phase I,Failure,2022-12-28,2023-09-04,2789.0,103.27,Eldoret,0
T1033,Metformin,Roche,Phase I,Success,2020-09-05,2020-06-06,,192.9,Mombasa,1
T1034,Ibuprofen,Johnson & Johnson,Phase I,Failure,2023-05-10,,404.0,286.11,Kisumu,1
T1035,Metformin,Novartis,Phase III,Success,2023-10-14,2024-02-03,764.0,157.63,Eldoret,0
T1036,Metformin,Roche,Phase III,Success,2021-07-20,2021-11-16,2425.0,430.27,Mombasa,0
T1037,Metformin,Novartis,Phase II,Ongoing,2021-03-03,2021-07-14,3823.0,388.7,Nairobi,0
T1038,Metformin,Novartis,Phase II,Success,2021-08-28,,1260.0,,Mombasa,2
T1039,Ibuprofen,Johnson & Johnson,Phase I,Ongoing,,2021-12-15,4052.0,,Eldoret,2
T1040,Paracetamol,Unknown,Phase III,Success,2022-08-30,2022-10-18,2459.0,350.12,Kisumu,1
T1041,Aspirin,Pfizer,,Success,2022-03-01,2022-04-25,464.0,246.5,Eldoret,2
T1042,Ibuprofen,Pfizer,Phase II,Success,2022-04-26,2022-10-05,2728.0,109.84,Eldoret,0
T1043,Ibuprofen,Pfizer,Phase I,Failure,2020-10-03,2020-03-29,2463.0,418.16,Eldoret,0
T1044,Ibuprofen,Nan,Phase III,Success,2022-03-16,2022-06-27,3913.0,340.71,Kisumu,0
T1045,Aspirin,Pfizer,Phase II,Success,,2023-05-06,103.0,283.84,Eldoret,1
T1046,nan,Pfizer,Phase II,Success,2021-05-04,2021-09-30,1786.0,406.06,Eldoret,0
T1047,Metformin,Roche,Phase III,Failure,2022-07-20,2022-11-07,,176.38,Kisumu,1
T1048,Unknown,Pfizer,Phase III,Success,2022-04-09,2023-01-04,4245.0,320.26,Nairobi,1
T1049,Aspirin,Roche,Phase I,Success,2023-11-24,2023-12-20,537.0,209.52,Eldoret,0
T1050,Ibuprofen,Pfizer,Phase II,Failure,2021-05-03,2021-09-19,4066.0,237.04,Kisumu,0
T1051,Aspirin,Pfizer,Phase I,Failure,2023-05-04,2023-05-26,1999.0,105.17,Kisumu,1
T1052,Metformin,Johnson & Johnson,Phase II,Success,2020-09-28,2020-10-20,1579.0,192.1,Eldoret,0
T1053,Metformin,Pfizer,Phase I,Ongoing,2023-11-15,2024-01-23,2171.0,487.42,Mombasa,0
T1054,Metformin,Novartis,Phase III,Ongoing,2021-01-20,2021-05-16,4065.0,491.18,Mombasa,0
T1055,Aspirin,Pfizer,Phase III,Ongoing,2023-09-13,2024-01-22,4852.0,,Eldoret,1
T1056,Aspirin,Pfizer,Phase II,Success,2020-04-07,2020-06-13,4056.0,89.51,Nairobi,0
T1057,Aspirin,Novartis,Phase III,Ongoing,2022-01-28,2022-07-24,3721.0,489.5,Mombasa,0
T1058,Metformin,Nan,Phase I,Success,2022-03-31,2022-07-22,3092.0,71.64,Kisumu,0
T1059,Aspirin,Johnson & Johnson,Phase II,Failure,,2023-12-12,3037.0,475.11,Nairobi,1
T1060,Metformin,Pfizer,Phase I,,2023-02-25,2023-06-29,1776.0,342.95,Kisumu,1
T1061,Aspirin,Pfizer,,Success,2022-03-03,2022-10-05,3238.0,398.62,Kisumu,1
T1062,Unknown,Pfizer,Phase I,Ongoing,2020-06-04,2020-07-02,,245.52,Mombasa,2
T1063,Paracetamol,Roche,,Success,2020-05-31,2020-11-23,2991.0,231.63,Kisumu,1
T1064,Paracetamol,Johnson & Johnson,Phase I,Ongoing,,2022-04-20,,57.22,Eldoret,3
T1065,Ibuprofen,Pfizer,Phase I,Failure,2022-04-10,2023-03-08,4646.0,188.89,Eldoret,0
T1066,Paracetamol,Johnson & Johnson,Phase II,Success,2023-07-21,2024-06-01,2305.0,486.51,Mombasa,0
T1067,Metformin,Pfizer,Phase III,Success,2023-01-12,2023-09-03,4647.0,188.63,Mombasa,1
T1068,Ibuprofen,Johnson & Johnson,Phase I,Success,,2021-12-12,4316.0,82.07,Mombasa,1
T1069,Aspirin,Pfizer,Phase III,Success,2021-05-16,2021-12-02,3352.0,304.32,Nairobi,0
T1070,Ibuprofen,Johnson & Johnson,Phase III,Success,2023-09-16,2023-09-27,4022.0,334.25,Mombasa,1
T1071,Paracetamol,Novartis,Phase III,Ongoing,2020-05-30,2020-06-11,3958.0,,Nairobi,1
T1072,Aspirin,Johnson & Johnson,Phase II,Success,2022-03-21,2022-09-24,3795.0,427.6,Eldoret,1
T1073,Aspirin,Roche,Phase I,Success,,2024-02-14,4534.0,148.97,Kisumu,2
T1074,Ibuprofen,Unknown,Phase I,Ongoing,2020-07-21,2020-08-11,,75.37,Unknown,3
T1075,Aspirin,Pfizer,Phase II,Success,2021-02-17,2021-02-25,3036.0,491.92,Unknown,2
T1076,Metformin,Unknown,Phase III,Failure,2022-09-06,2023-03-11,529.0,125.59,Kisumu,1
T1077,Metformin,Pfizer,Phase I,,2020-01-01,2020-07-05,4672.0,159.14,Mombasa,2
T1078,Metformin,Pfizer,Phase II,Ongoing,2022-01-01,2022-02-23,814.0,201.39,Nan,0
T1079,Ibuprofen,Unknown,Phase I,,2020-05-28,2020-07-09,213.0,389.68,Nairobi,2
T1080,Ibuprofen,Pfizer,Phase I,Failure,2022-12-02,,1455.0,195.39,Nairobi,1
T1081,Aspirin,Novartis,Phase II,Ongoing,2021-02-03,2021-12-03,3875.0,127.66,Nairobi,0
T1082,Ibuprofen,Pfizer,Phase III,Ongoing,,2020-09-02,4075.0,219.46,Nairobi,1
T1083,Ibuprofen,Unknown,Phase I,Success,2022-09-28,2022-11-10,,409.24,Unknown,3
T1084,Metformin,Novartis,Phase III,Ongoing,2022-05-19,2022-08-08,3386.0,103.12,Unknown,1
T1085,Metformin,Novartis,Phase I,Success,2022-06-14,2022-04-11,4910.0,276.42,Kisumu,0
T1086,Paracetamol,Novartis,Phase II,Ongoing,2023-07-24,2023-11-19,2796.0,176.95,Kisumu,0
T1087,Metformin,Novartis,Phase II,Ongoing,2021-10-30,2022-01-31,4549.0,275.6,Eldoret,0
T1088,Metformin,Pfizer,Phase I,Failure,2020-07-04,2020-06-08,88.0,489.51,Eldoret,0
T1089,Aspirin,Roche,,Failure,2021-10-27,2021-11-26,3690.0,463.59,Mombasa,1
T1090,Paracetamol,Johnson & Johnson,Phase II,Failure,2021-07-06,2021-09-06,1385.0,425.66,Nairobi,0
T1091,Unknown,Novartis,Phase I,,2021-08-25,2022-01-17,-1701.0,60.26,Kisumu,2
T1092,Ibuprofen,Pfizer,Phase II,Failure,2021-08-04,2021-04-17,4644.0,132.91,Eldoret,0
T1093,Ibuprofen,Johnson & Johnson,Phase III,Failure,2022-05-15,,1708.0,466.73,Mombasa,2
T1094,Ibuprofen,Roche,Phase I,Failure,2022-09-01,2022-02-07,-3159.0,301.52,Nairobi,0
T1095,Aspirin,Pfizer,Phase III,Ongoing,2021-02-07,2021-11-26,4415.0,393.56,Nairobi,0
T1096,Ibuprofen,Novartis,Phase I,Ongoing,2022-08-28,2023-01-10,2346.0,372.21,Eldoret,0
T1097,Ibuprofen,Johnson & Johnson,Phase III,Failure,2021-04-08,2021-08-12,904.0,239.5,Mombasa,0
T1098,Aspirin,Pfizer,Phase I,Success,2022-07-01,2022-10-07,1045.0,226.71,Nairobi,0
T1099,Metformin,Johnson & Johnson,,Ongoing,2022-07-23,2022-07-31,2306.0,96.42,Kisumu,1
T1100,Metformin,Pfizer,Phase III,Failure,2022-05-26,2022-10-15,4131.0,90.79,Kisumu,0
T1101,Ibuprofen,Roche,Phase III,Ongoing,2022-08-07,2022-12-17,3040.0,271.3,Nairobi,0
T1102,Aspirin,Roche,Phase II,Success,2020-05-29,2020-07-17,1855.0,147.52,Unknown,1
T1103,Paracetamol,Roche,Phase I,Failure,2023-03-28,2023-07-08,3091.0,371.39,Eldoret,0
T1104,Metformin,Pfizer,Phase III,Failure,2021-03-04,2021-07-25,3951.0,188.34,Mombasa,0
T1105,Paracetamol,Pfizer,Phase II,Failure,2022-08-17,2022-09-05,,415.85,Nairobi,1
T1106,Aspirin,Johnson & Johnson,,Success,2022-07-26,,954.0,344.39,Nairobi,2
T1107,Aspirin,Novartis,Phase III,Success,2022-04-07,2022-11-04,1286.0,173.03,Mombasa,0
T1108,Ibuprofen,Roche,Phase III,,2023-02-17,2023-03-14,1573.0,157.22,Nairobi,1
T1109,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2022-01-23,2022-09-05,-4934.0,247.36,Kisumu,0
T1110,Aspirin,Novartis,Phase III,Failure,2023-11-07,2023-10-23,4903.0,476.23,Kisumu,0
T1111,Paracetamol,Novartis,Phase III,Ongoing,2023-10-20,2024-02-27,1143.0,240.49,Kisumu,0
T1112,Ibuprofen,Roche,,Success,2024-01-17,2024-12-02,4991.0,304.47,Mombasa,1
T1113,Paracetamol,Unknown,,Success,2022-10-03,2022-03-29,4215.0,204.09,Eldoret,2
T1114,Ibuprofen,Novartis,Phase I,Ongoing,2021-06-17,2021-08-20,2044.0,99.68,Eldoret,0
T1115,Ibuprofen,Roche,Phase III,Ongoing,2023-11-24,2024-07-01,3861.0,280.81,Kisumu,0
T1116,Aspirin,Johnson & Johnson,Phase I,Failure,2021-01-23,,3245.0,288.09,Nairobi,1
T1117,Unknown,Roche,Phase III,Failure,2022-01-23,2022-01-03,3012.0,134.05,Mombasa,1
T1118,Metformin,Roche,Phase I,,2020-08-21,2020-12-11,3718.0,294.78,Mombasa,1
T1119,Paracetamol,Novartis,Phase I,Success,2022-09-29,2022-12-24,2972.0,55.38,Kisumu,0
T1120,Aspirin,Johnson & Johnson,Phase II,Ongoing,2021-05-14,2021-09-21,546.0,478.92,Nairobi,0
T1121,Metformin,Pfizer,Phase III,Ongoing,2022-01-18,2022-04-15,,473.21,Eldoret,1
T1122,Aspirin,Nan,Phase I,Ongoing,2022-09-10,2023-04-19,4233.0,380.28,Nairobi,0
T1123,Ibuprofen,Roche,Phase I,Ongoing,,2023-02-08,2274.0,148.92,Mombasa,1
T1124,Paracetamol,Roche,Phase I,,,2022-11-12,4422.0,438.79,Nairobi,2
T1125,Unknown,Novartis,Phase II,Success,,2022-04-16,3388.0,269.61,Eldoret,2
T1126,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2023-12-05,2023-08-06,2457.0,,Mombasa,2
T1127,Ibuprofen,Pfizer,,Success,2020-01-23,2020-10-08,2386.0,473.67,Nairobi,1
T1128,Aspirin,Novartis,Phase II,Success,2023-08-10,2023-05-11,2396.0,151.79,Eldoret,0
T1129,Aspirin,Novartis,Phase II,Success,2020-04-22,2020-07-08,2450.0,223.9,Mombasa,0
T1130,Metformin,Roche,Phase II,Failure,2022-07-19,2022-10-30,823.0,144.51,Mombasa,0
T1131,Paracetamol,Unknown,Phase I,Success,2021-09-03,2021-03-30,932.0,101.98,Kisumu,1
T1132,Metformin,Johnson & Johnson,Phase I,Ongoing,2023-09-19,2023-09-26,4839.0,303.66,Eldoret,0
T1133,Metformin,Roche,Phase I,Ongoing,2020-04-26,2020-09-08,3332.0,317.18,Eldoret,0
T1134,Metformin,Roche,Phase III,Ongoing,2022-06-30,2022-09-17,2473.0,456.24,Kisumu,0
T1135,Ibuprofen,Johnson & Johnson,Phase I,,2024-02-03,2024-02-22,250.0,286.87,Nairobi,1
T1136,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2023-12-02,2023-12-10,2337.0,339.43,Eldoret,0
T1137,Ibuprofen,Novartis,Phase I,Success,2022-07-12,2022-08-22,3649.0,276.52,Kisumu,1
T1138,Paracetamol,Roche,Phase II,,2021-07-16,2021-12-26,1542.0,226.09,Eldoret,1
T1139,Ibuprofen,Pfizer,Phase III,Failure,2023-07-03,2023-01-07,1955.0,431.62,Mombasa,0
T1140,Paracetamol,Johnson & Johnson,Phase I,Failure,2023-10-14,2023-06-11,2850.0,163.34,Nairobi,0
T1141,Ibuprofen,Roche,Phase I,Success,2021-06-05,2021-07-09,1648.0,89.44,Unknown,1
T1142,Ibuprofen,Johnson & Johnson,Phase I,Ongoing,2020-07-29,2020-08-10,3157.0,438.93,Nairobi,0
T1143,Aspirin,Pfizer,Phase I,Ongoing,2022-02-18,2022-08-26,,245.95,Nairobi,1
T1144,Paracetamol,Johnson & Johnson,Phase I,Success,2022-06-12,2023-05-28,-1543.0,314.41,Mombasa,0
T1145,Metformin,Pfizer,Phase I,Failure,2020-04-14,2020-05-17,404.0,436.47,Mombasa,0
T1146,Ibuprofen,Novartis,Phase III,Failure,2021-04-29,2021-11-01,2747.0,327.99,Eldoret,0
T1147,Paracetamol,Johnson & Johnson,Phase III,Ongoing,2023-09-15,2024-02-16,-328.0,230.37,Kisumu,0
T1148,Ibuprofen,Novartis,Phase III,Success,2020-05-27,2020-10-31,2925.0,454.59,Nairobi,0
T1149,Paracetamol,Novartis,Phase II,,2020-06-11,2020-12-03,3469.0,270.98,Mombasa,1
T1150,Metformin,Roche,Phase III,Ongoing,2021-03-11,2022-04-22,3587.0,460.16,Nairobi,0
T1151,Aspirin,Novartis,Phase II,Ongoing,2024-01-25,2024-03-29,,,Kisumu,2
T1152,Paracetamol,Novartis,Phase II,Ongoing,2023-10-02,2023-04-16,2767.0,269.21,Kisumu,0
T1153,Aspirin,Roche,Phase I,Ongoing,2022-01-28,2022-08-06,747.0,148.0,Kisumu,0
T1154,Metformin,Novartis,Phase II,Failure,,2024-01-04,716.0,265.94,Kisumu,1
T1155,Aspirin,Pfizer,Phase III,Ongoing,,2020-07-27,1089.0,315.03,Kisumu,2
T1156,Unknown,Novartis,Phase I,Ongoing,2023-11-12,2024-03-27,2772.0,409.97,Kisumu,1
T1157,Metformin,Novartis,Phase II,Failure,2023-07-09,2023-11-27,2389.0,476.01,Kisumu,0
T1158,Ibuprofen,Novartis,Phase III,Ongoing,2022-02-19,2022-05-11,2496.0,136.76,Kisumu,0
T1159,Ibuprofen,Novartis,Phase II,Success,2020-03-18,,4401.0,245.42,Unknown,2
T1160,Aspirin,Pfizer,Phase I,Success,,2022-01-06,4673.0,433.18,Kisumu,1
T1161,Unknown,Novartis,Phase II,Ongoing,2023-04-10,2024-04-04,3257.0,431.1,Mombasa,1
T1162,Metformin,Johnson & Johnson,Phase III,Failure,2022-09-10,2022-12-22,3259.0,256.3,Eldoret,0
T1163,Paracetamol,Pfizer,Phase I,Success,2021-07-30,2021-09-15,421.0,406.43,Nairobi,1
T1164,Ibuprofen,Roche,Phase I,Failure,2022-03-27,2022-09-21,1297.0,430.17,Eldoret,0
T1165,Ibuprofen,Novartis,Phase III,Failure,2023-10-01,2024-03-28,3495.0,477.52,Mombasa,0
T1166,Ibuprofen,Johnson & Johnson,Phase III,Ongoing,2023-01-27,2023-02-18,,426.45,Kisumu,1
T1167,Metformin,Roche,Phase III,Ongoing,2021-12-23,2022-05-11,4495.0,440.22,Kisumu,0
T1168,Metformin,Roche,Phase I,Success,2022-09-05,2023-01-26,2299.0,363.71,Mombasa,0
T1169,Ibuprofen,Pfizer,Phase I,Success,2022-08-24,2023-10-01,313.0,393.19,Nairobi,0
T1170,nan,Roche,Phase III,Ongoing,2023-12-07,2023-10-09,724.0,363.45,Nairobi,1
T1171,Unknown,Pfizer,Phase III,,2023-04-15,2023-02-06,4345.0,229.46,Eldoret,2
T1172,Ibuprofen,Johnson & Johnson,Phase I,Success,2021-01-26,2021-04-26,4080.0,75.76,Kisumu,0
T1173,Aspirin,Novartis,Phase III,Success,2023-11-18,2024-03-17,817.0,250.87,Eldoret,0
T1174,Ibuprofen,Roche,Phase II,Success,2022-02-03,2022-09-04,,237.77,Eldoret,2
T1175,Aspirin,Novartis,Phase I,Success,2022-01-24,2022-05-06,2479.0,,Mombasa,1
T1176,Metformin,Pfizer,Phase II,Failure,2020-06-23,2020-12-16,1319.0,307.72,Eldoret,0
T1177,Metformin,Pfizer,,,2020-05-19,2020-11-21,2470.0,421.2,Nan,2
T1178,Ibuprofen,Johnson & Johnson,Phase I,Ongoing,2020-10-06,2021-03-17,4357.0,369.3,Mombasa,1
T1179,Aspirin,Johnson & Johnson,Phase I,Success,2023-01-11,2024-02-26,538.0,391.12,Unknown,1
T1180,Aspirin,Novartis,Phase III,Ongoing,2021-11-19,2022-05-06,169.0,203.51,Mombasa,0
T1181,Aspirin,Johnson & Johnson,Phase III,Ongoing,,2024-01-02,1950.0,,Mombasa,2
T1182,Ibuprofen,Pfizer,,Ongoing,2022-07-30,2022-09-21,1303.0,493.44,Nairobi,1
T1183,Aspirin,Johnson & Johnson,Phase III,Ongoing,2020-12-25,2021-09-07,3411.0,67.91,Mombasa,0
T1184,Paracetamol,Novartis,Phase I,,2021-01-21,2021-09-02,,315.69,Mombasa,2
T1185,Aspirin,Unknown,Phase I,Ongoing,2021-12-02,2022-07-02,,249.6,Kisumu,2
T1186,Aspirin,Roche,Phase I,Ongoing,2021-07-08,2021-04-10,3375.0,351.25,Unknown,1
T1187,Metformin,Pfizer,Phase III,Success,2020-09-05,2020-07-12,477.0,271.27,Nan,0
T1188,Paracetamol,Novartis,Phase I,Failure,2024-04-01,2024-06-03,1187.0,56.66,Mombasa,0
T1189,Paracetamol,Pfizer,Phase III,Failure,,2023-01-11,1933.0,302.02,Nairobi,1
T1190,Ibuprofen,Pfizer,Phase III,Failure,2023-09-19,,3158.0,232.55,Nairobi,1
T1191,Paracetamol,Roche,,Ongoing,2022-11-02,2023-03-20,4685.0,116.94,Mombasa,1
T1192,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2022-11-02,2022-12-07,358.0,463.61,Nairobi,0
T1193,Metformin,Pfizer,Phase I,Failure,2023-08-08,2023-10-16,948.0,106.78,Kisumu,1
T1194,Ibuprofen,Johnson & Johnson,Phase I,,,2024-06-14,3646.0,,Nairobi,3
T1195,Aspirin,Pfizer,Phase I,Ongoing,2023-03-14,2023-07-13,3275.0,379.84,Eldoret,0
T1196,Unknown,Novartis,Phase I,Success,2022-01-08,2022-04-20,4552.0,377.67,Kisumu,1
T1197,Paracetamol,Pfizer,Phase II,Success,2021-05-14,2021-06-26,-2795.0,295.03,Nairobi,0
T1198,Aspirin,Johnson & Johnson,,,2021-08-29,2021-10-07,469.0,248.98,Eldoret,2
T1199,Aspirin,Novartis,Phase II,Failure,2022-06-21,2023-01-01,1541.0,276.68,Mombasa,0
T1200,Metformin,Johnson & Johnson,Phase I,Ongoing,2024-09-02,,1313.0,308.89,Nairobi,1
T1201,Paracetamol,Pfizer,Phase I,Ongoing,2022-12-16,2023-06-14,2871.0,288.38,Kisumu,0
T1202,Ibuprofen,Johnson & Johnson,Phase I,Failure,2022-12-10,2022-12-16,69.0,334.64,Eldoret,0
T1203,Paracetamol,Johnson & Johnson,Phase I,Failure,,2023-12-24,,275.57,Mombasa,2
T1204,Metformin,Johnson & Johnson,Phase II,Ongoing,2022-03-03,2022-05-06,,330.19,Unknown,2
T1205,Aspirin,Pfizer,Phase I,Ongoing,2022-09-29,2023-01-03,3621.0,380.14,Kisumu,0
T1206,Ibuprofen,Novartis,Phase I,Failure,2020-12-04,2020-05-31,2507.0,189.27,Eldoret,0
T1207,Ibuprofen,Novartis,,Success,2021-10-31,2022-12-04,,480.21,Nairobi,2
T1208,Metformin,Pfizer,Phase III,Failure,2024-01-19,2024-02-24,286.0,466.98,Nairobi,0
T1209,Paracetamol,Roche,Phase II,Failure,2023-09-29,2024-01-14,3717.0,364.09,Kisumu,0
T1210,Aspirin,Roche,Phase I,,2021-06-26,2021-10-25,4577.0,50.36,Nairobi,1
T1211,Ibuprofen,Pfizer,Phase III,Failure,2022-11-30,2023-05-14,-2193.0,119.08,Mombasa,0
T1212,Paracetamol,Unknown,,Failure,2021-06-19,2021-11-26,2432.0,458.09,Kisumu,2
T1213,Ibuprofen,Roche,Phase II,Ongoing,2021-03-06,2021-04-29,2702.0,79.96,Kisumu,0
T1214,Paracetamol,Pfizer,Phase II,Ongoing,2022-07-03,2022-01-11,3473.0,465.18,Eldoret,0
T1215,Metformin,Roche,Phase I,Failure,2023-04-27,2023-07-20,148.0,211.98,Eldoret,0
T1216,Paracetamol,Roche,Phase II,Success,2023-04-22,2023-05-09,4028.0,132.4,Eldoret,0
T1217,Aspirin,Johnson & Johnson,Phase II,Ongoing,2021-03-26,2021-09-18,,,Mombasa,2
T1218,Ibuprofen,Johnson & Johnson,Phase III,,2020-11-11,2021-01-22,515.0,222.48,Unknown,2
T1219,Aspirin,Pfizer,Phase I,Success,2021-06-16,2021-10-03,451.0,416.33,Eldoret,0
T1220,Paracetamol,Novartis,Phase I,Success,2021-04-04,2021-07-22,4987.0,182.86,Nairobi,0
T1221,Metformin,Novartis,Phase III,Success,2020-08-05,2021-02-05,412.0,368.54,Eldoret,0
T1222,Ibuprofen,Pfizer,Phase I,Failure,2021-11-18,2022-01-05,205.0,390.17,Kisumu,0
T1223,Unknown,Novartis,Phase III,Failure,2020-01-16,2020-11-03,2996.0,338.56,Mombasa,2
T1224,Aspirin,Unknown,Phase II,Success,2021-05-09,2021-10-09,1037.0,469.57,Kisumu,1
T1225,Ibuprofen,Pfizer,Phase I,Ongoing,2023-11-13,2023-12-19,-1625.0,213.82,Eldoret,0
T1226,Aspirin,Pfizer,Phase II,Ongoing,2023-07-12,2024-08-05,535.0,112.35,Kisumu,0
T1227,Aspirin,Pfizer,Phase III,Success,2023-06-19,2023-07-15,4262.0,60.58,Kisumu,0
T1228,Paracetamol,Pfizer,Phase III,Success,2023-04-16,,2919.0,122.2,Nan,1
T1229,Aspirin,Johnson & Johnson,Phase III,Failure,2022-01-26,2022-03-27,4809.0,328.17,Mombasa,0
T1230,Metformin,Pfizer,Phase I,,2023-09-08,2023-08-10,954.0,341.23,Nairobi,1
T1231,Paracetamol,Johnson & Johnson,Phase II,Ongoing,2021-08-20,2022-03-03,2371.0,340.85,Eldoret,0
T1232,Unknown,Pfizer,Phase II,Success,2020-10-22,2020-11-25,3117.0,59.96,Mombasa,1
T1233,Paracetamol,Pfizer,Phase II,Failure,,2023-01-09,,288.49,Mombasa,2
T1234,Aspirin,Novartis,Phase I,Failure,2023-12-24,2024-01-20,1217.0,486.05,Mombasa,0
T1235,Ibuprofen,Novartis,Phase I,Ongoing,2022-06-16,2022-11-07,512.0,107.55,Eldoret,0
T1236,Paracetamol,Roche,Phase III,Ongoing,2022-01-09,,504.0,,Eldoret,2
T1237,Aspirin,Novartis,Phase I,Success,,2021-01-09,2344.0,64.79,Mombasa,1
T1238,Aspirin,Novartis,Phase II,Success,2023-08-04,2023-07-16,2666.0,175.79,Eldoret,0
T1239,Metformin,Johnson & Johnson,,Success,2023-06-09,2023-06-30,1834.0,,Nairobi,2
T1240,Ibuprofen,Pfizer,Phase II,Success,2022-02-07,2022-07-27,3980.0,172.27,Mombasa,0
T1241,Unknown,Pfizer,Phase I,Failure,2021-03-18,2021-04-18,3904.0,321.95,Kisumu,1
T1242,Metformin,Roche,Phase III,Ongoing,,2022-01-09,4742.0,277.9,Kisumu,1
T1243,Ibuprofen,Roche,Phase III,Ongoing,2023-03-04,2023-06-03,-2934.0,457.05,Mombasa,0
T1244,Aspirin,Roche,Phase II,,2020-12-29,2021-02-06,3448.0,324.67,Kisumu,1
T1245,Aspirin,Unknown,Phase II,Success,2022-04-12,2023-05-05,150.0,415.41,Eldoret,1
T1246,Ibuprofen,Roche,Phase III,Failure,2020-03-11,2021-02-17,1676.0,298.75,Eldoret,0
T1247,Aspirin,Johnson & Johnson,Phase III,Failure,2022-03-16,2022-03-24,-4024.0,424.2,Mombasa,0
T1248,Ibuprofen,Pfizer,,,,2021-02-14,1768.0,387.77,Mombasa,3
T1249,Ibuprofen,Roche,Phase II,Success,2023-06-29,2024-01-01,167.0,160.4,Unknown,1
T1250,Ibuprofen,Novartis,Phase I,Ongoing,2024-01-18,2024-07-24,728.0,174.34,Mombasa,0
T1251,Metformin,Roche,Phase III,Failure,2023-08-20,2023-09-23,948.0,174.37,Mombasa,0
T1252,Metformin,Novartis,Phase I,Success,2020-06-09,2020-09-22,-2414.0,302.22,Eldoret,0
